movie_name,director,year,jump_count,jump_score,netflix,imdb_score
Scary Movie,Keenen Ivory Wayans,2000.0,8.0,1.5,No,6.2
Scary Movie 2,Keenen Ivory Wayans,2001.0,8.0,1.5,Yes,5.3
Scream,Wes Craven,1996.0,19.0,3.5,No,7.2
Scream 2,Wes Craven,1997.0,19.0,4.0,No,6.1
Scream 3,Wes Craven,2000.0,23.0,4.0,No,5.5
Scream 4,Wes Craven,2011.0,18.0,3.5,Yes,6.2
Searching,Aneesh Chaganty,2018.0,0.0,0.0,No,7.7
Secret Window,David Koepp,2004.0,10.0,2.0,No,6.6
Session 9,Brad Anderson,2001.0,0.0,0.0,No,6.5
Seven,David Fincher,1995.0,1.0,0.5,No,8.6
Shaun of the Dead,Edgar Wright,2004.0,13.0,2.5,No,8.0
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004.0,11.0,4.0,Yes,7.1
Shutter Island,Martin Scorsese,2010.0,9.0,2.0,No,8.1
Signs,M. Night Shyamalan,2002.0,8.0,2.0,No,6.7
Silent Hill,Christophe Gans,2006.0,7.0,1.5,No,6.6
Silent Hill: Revelation,Michael J. Bassett,2012.0,22.0,4.0,No,5.0
Silver Bullet,Dan Attias,1985.0,15.0,3.0,No,6.4
Sinister,Scott Derrickson,2012.0,17.0,5.0,No,6.8
Sinister 2,Ciarán Foy,2015.0,19.0,4.0,No,5.2
Sleepaway Camp,Robert Hiltzik,1983.0,6.0,1.5,No,6.3
Sleepy Hollow,Tim Burton,1999.0,1.0,0.5,No,7.4
Slender Man,Sylvain White,2018.0,15.0,3.5,No,3.1
Slither,James Gunn,2006.0,10.0,3.0,No,6.5
Slumber,Jonathan Hopkins,2017.0,12.0,3.0,No,4.9
Species,Roger Donaldson,1995.0,7.0,3.0,No,5.8
Sphere,Barry Levinson,1998.0,4.0,1.0,No,6.0
Splinter,Toby Wilkins,2008.0,10.0,3.0,No,6.1
Split,M. Night Shyamalan,2016.0,3.0,0.5,No,7.3
Spring,"Justin Benson, Aaron Moorhead",2014.0,1.0,0.5,No,6.6
Stake Land,Jim Mickle,2010.0,1.0,0.5,No,6.5
Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014.0,9.0,2.0,No,6.0
Stephanie,Akiva Goldsman,2017.0,18.0,3.0,Yes,5.8
Stir of Echoes,David Koepp,1999.0,9.0,3.0,No,7.0
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018.0,19.0,4.0,No,6.7
Sunshine,Danny Boyle,2007.0,6.0,1.5,No,7.3
Super 8,J.J. Abrams,2011.0,15.0,3.5,No,7.1
Suspiria,Dario Argento,1977.0,6.0,1.5,No,7.5
Suspiria,Luca Guadagnino,2018.0,2.0,0.5,No,7.1
Tales of Halloween,Various Directors,2015.0,14.0,3.0,Yes,5.4
Terrifier,Damien Leone,2017.0,18.0,3.5,Yes,5.7
Texas Chainsaw 3D,John Luessenhop,2013.0,14.0,3.0,No,4.8
The 9th Life of Louis Drax,Alexandre Aja,2016.0,4.0,1.0,No,6.3
The Abandoned,Eytan Rockaway,2015.0,21.0,3.5,No,5.0
The ABCs of Death,Various Directors,2012.0,0.0,0.0,No,4.7
The Abyss,James Cameron,1989.0,2.0,0.5,No,7.6
The Amityville Horror,Stuart Rosenberg,1979.0,8.0,2.5,No,6.2
The Amityville Horror,Andrew Douglas,2005.0,16.0,4.0,No,6.0
The Atticus Institute,Chris Sparling,2015.0,13.0,3.5,No,5.4
The Autopsy of Jane Doe,André Øvredal,2016.0,12.0,3.0,Yes,6.8
The Babadook,Jennifer Kent,2014.0,11.0,3.0,No,6.9
The Babysitter,McG,2017.0,8.0,2.5,Yes,6.6
The Bay,Barry Levinson,2012.0,8.0,2.5,No,5.6
The Belko Experiment,Greg McLean,2016.0,8.0,2.5,No,6.2
The Blackcoat's Daughter,Osgood Perkins,2015.0,3.0,0.5,No,5.3
